model_name,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_roc_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc
LogisticRegression,0.5135663251879192,0.25026080084943786,0.0012095933263816475,0.002379891464379232,0.5066989832902647,0.5139396617006928,0.2522880350839486,0.0011001042752867573,0.0021750184107644393,0.4963455098992937
RandomForestClassifier,0.9947486607502363,0.9972907950267773,0.9918004866180049,0.9945224820145837,0.9996321986077298,0.6843311481435844,0.6756041478134365,0.6681751824817518,0.671230560682513,0.7786557881532262
SVC,0.5449641794405135,0.4812046260551594,0.2918369829683698,0.2831856549104109,0.5581623401972948,0.5451867741877935,0.47666142212580326,0.292043795620438,0.2835270959218507,0.5590499159973843
XGBClassifier,0.8084428861181606,0.8120657891332774,0.7855798864557989,0.7900301740030277,0.8877060586773168,0.684052128136396,0.6865767019389452,0.6580102730467694,0.663469397993545,0.7818544167568782
