model_name,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_roc_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc
LogisticRegression,0.6257806823591431,0.5075319020038955,0.6203634934689198,0.5513849091527911,0.6971771327063853,0.6257272296969012,0.5073852456473104,0.6203013868413122,0.5512594678192526,0.6971424093794661
RandomForestClassifier,0.9188999112595408,0.9071893146749384,0.9331360557677909,0.9199166342371088,0.9745612651635048,0.6165041764252206,0.6141073845821355,0.6271198147440343,0.6204683192027018,0.6566348158421192
SVC,0.6839617383549135,0.6850798366179591,0.6810526395300166,0.6830208951783523,0.7326174959255396,0.6835572420262886,0.6847802548789839,0.680408774649283,0.6825373472805754,0.7318891082156521
XGBClassifier,0.6888512919776263,0.6909628772430922,0.6839743310904205,0.6872428593867015,0.7579801683393308,0.6778136407478894,0.680881651340449,0.6738400537482213,0.6759255300079785,0.7428457667804785
