model_name,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_roc_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc
LogisticRegression,0.6231655933572802,0.5122021178320159,0.6488968607314579,0.5669747166615471,0.6943946904424644,0.6233556748897149,0.5134191029939779,0.6490999282499069,0.5674456495317077,0.6941624983198681
RandomForestClassifier,0.9164889527185949,0.8980533239005407,0.9396523160458632,0.9183799695621024,0.972930445306085,0.6112055264296259,0.6071319515849392,0.6309833120113717,0.6187737982961338,0.6551764948483292
SVC,0.6825487658826876,0.6897044053108352,0.6637432198407062,0.6764621322961133,0.72948622250226,0.6816288932759367,0.6904430632796454,0.6617972423596303,0.6753525215830798,0.7285119343732147
XGBClassifier,0.6878798050980182,0.6895066543206935,0.6835748323271971,0.6865264861551479,0.7577392830741798,0.6775238045973809,0.6805368540518917,0.672246027007818,0.6760200238805811,0.7414618562381514
