model_name,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_roc_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc
LogisticRegression,0.6250897353448922,0.5019496105139295,0.617016714610734,0.5489005270357717,0.6943946901676086,0.6249642881301304,0.5027254328980576,0.6173525264832301,0.5492053707615668,0.6941624989963948
RandomForestClassifier,0.9075016663407122,0.8931722181364696,0.9256049854400813,0.9090496741437475,0.9691353969682308,0.6123250146798096,0.6094573474322295,0.6265410281923715,0.6177709299958303,0.6526834051541459
SVC,0.6820245409014525,0.6864229383216163,0.6703537395750063,0.6782603444629645,0.7290371705624815,0.6818420655226363,0.6875157063404217,0.670078066808813,0.6782477383051649,0.7280044217687076
XGBClassifier,0.6866758753951607,0.6894118960595896,0.6797946231231374,0.6844459561715255,0.7563588890610944,0.6773994817523507,0.6817487491951135,0.6692177209192133,0.6748189945991145,0.742994324610631
